old,url,name,awsurl
|  adrian_college-01.jpg                                   |,https://sandbox.markofthelam.com/titleIX/adrian_college-01.jpg,ADRIAN COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/adrian_college-01.jpg
|  adrian_college-02.jpg                                   |,https://sandbox.markofthelam.com/titleIX/adrian_college-02.jpg,ADRIAN COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/adrian_college-02.jpg
|  adrian_college-03.jpg                                   |,https://sandbox.markofthelam.com/titleIX/adrian_college-03.jpg,ADRIAN COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/adrian_college-03.jpg
|  adrian_college-04.jpg                                   |,https://sandbox.markofthelam.com/titleIX/adrian_college-04.jpg,ADRIAN COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/adrian_college-04.jpg
|  alabama_a_&_m_university-01.jpg                         |,https://sandbox.markofthelam.com/titleIX/alabama_a_&_m_university-01.jpg,ALABAMA A & M UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/alabama_a_&_m_university-01.jpg
|  alabama_a_&_m_university-02.jpg                         |,https://sandbox.markofthelam.com/titleIX/alabama_a_&_m_university-02.jpg,ALABAMA A & M UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/alabama_a_&_m_university-02.jpg
|  alabama_a_&_m_university-03.jpg                         |,https://sandbox.markofthelam.com/titleIX/alabama_a_&_m_university-03.jpg,ALABAMA A & M UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/alabama_a_&_m_university-03.jpg
|  alabama_a_&_m_university-04.jpg                         |,https://sandbox.markofthelam.com/titleIX/alabama_a_&_m_university-04.jpg,ALABAMA A & M UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/alabama_a_&_m_university-04.jpg
|  alabama_a_&_m_university-05.jpg                         |,https://sandbox.markofthelam.com/titleIX/alabama_a_&_m_university-05.jpg,ALABAMA A & M UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/alabama_a_&_m_university-05.jpg
|  allegheny_college-01.jpg                                |,https://sandbox.markofthelam.com/titleIX/allegheny_college-01.jpg,ALLEGHENY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/allegheny_college-01.jpg
|  allegheny_college-02.jpg                                |,https://sandbox.markofthelam.com/titleIX/allegheny_college-02.jpg,ALLEGHENY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/allegheny_college-02.jpg
|  allegheny_college-03.jpg                                |,https://sandbox.markofthelam.com/titleIX/allegheny_college-03.jpg,ALLEGHENY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/allegheny_college-03.jpg
|  allegheny_college-04.jpg                                |,https://sandbox.markofthelam.com/titleIX/allegheny_college-04.jpg,ALLEGHENY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/allegheny_college-04.jpg
|  alma_college-01.jpg                                     |,https://sandbox.markofthelam.com/titleIX/alma_college-01.jpg,ALMA COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/alma_college-01.jpg
|  alma_college-02.jpg                                     |,https://sandbox.markofthelam.com/titleIX/alma_college-02.jpg,ALMA COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/alma_college-02.jpg
|  alma_college-03.jpg                                     |,https://sandbox.markofthelam.com/titleIX/alma_college-03.jpg,ALMA COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/alma_college-03.jpg
|  alma_college-04.jpg                                     |,https://sandbox.markofthelam.com/titleIX/alma_college-04.jpg,ALMA COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/alma_college-04.jpg
|  american_beauty_college-01.jpg                          |,https://sandbox.markofthelam.com/titleIX/american_beauty_college-01.jpg,AMERICAN BEAUTY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/american_beauty_college-01.jpg
|  american_beauty_college-02.jpg                          |,https://sandbox.markofthelam.com/titleIX/american_beauty_college-02.jpg,AMERICAN BEAUTY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/american_beauty_college-02.jpg
|  american_beauty_college-03.jpg                          |,https://sandbox.markofthelam.com/titleIX/american_beauty_college-03.jpg,AMERICAN BEAUTY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/american_beauty_college-03.jpg
|  american_beauty_college-04.jpg                          |,https://sandbox.markofthelam.com/titleIX/american_beauty_college-04.jpg,AMERICAN BEAUTY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/american_beauty_college-04.jpg
|  american_beauty_college-05.jpg                          |,https://sandbox.markofthelam.com/titleIX/american_beauty_college-05.jpg,AMERICAN BEAUTY COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/american_beauty_college-05.jpg
|  american_medical_academy-01.jpg                         |,https://sandbox.markofthelam.com/titleIX/american_medical_academy-01.jpg,AMERICAN MEDICAL ACADEMY,https://title-ix.s3.us-east-2.amazonaws.com/american_medical_academy-01.jpg
|  american_medical_academy-02.jpg                         |,https://sandbox.markofthelam.com/titleIX/american_medical_academy-02.jpg,AMERICAN MEDICAL ACADEMY,https://title-ix.s3.us-east-2.amazonaws.com/american_medical_academy-02.jpg
|  american_medical_academy-03.jpg                         |,https://sandbox.markofthelam.com/titleIX/american_medical_academy-03.jpg,AMERICAN MEDICAL ACADEMY,https://title-ix.s3.us-east-2.amazonaws.com/american_medical_academy-03.jpg
|  american_medical_academy-04.jpg                         |,https://sandbox.markofthelam.com/titleIX/american_medical_academy-04.jpg,AMERICAN MEDICAL ACADEMY,https://title-ix.s3.us-east-2.amazonaws.com/american_medical_academy-04.jpg
|  american_university-01.jpg                              |,https://sandbox.markofthelam.com/titleIX/american_university-01.jpg,AMERICAN UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/american_university-01.jpg
|  american_university-02.jpg                              |,https://sandbox.markofthelam.com/titleIX/american_university-02.jpg,AMERICAN UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/american_university-02.jpg
|  american_university-03.jpg                              |,https://sandbox.markofthelam.com/titleIX/american_university-03.jpg,AMERICAN UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/american_university-03.jpg
|  american_university-04.jpg                              |,https://sandbox.markofthelam.com/titleIX/american_university-04.jpg,AMERICAN UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/american_university-04.jpg
|  american_university-05.jpg                              |,https://sandbox.markofthelam.com/titleIX/american_university-05.jpg,AMERICAN UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/american_university-05.jpg
|  amherst_college-01.jpg                                  |,https://sandbox.markofthelam.com/titleIX/amherst_college-01.jpg,AMHERST COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/amherst_college-01.jpg
|  amherst_college-02.jpg                                  |,https://sandbox.markofthelam.com/titleIX/amherst_college-02.jpg,AMHERST COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/amherst_college-02.jpg
|  amherst_college-03.jpg                                  |,https://sandbox.markofthelam.com/titleIX/amherst_college-03.jpg,AMHERST COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/amherst_college-03.jpg
|  amherst_college-04.jpg                                  |,https://sandbox.markofthelam.com/titleIX/amherst_college-04.jpg,AMHERST COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/amherst_college-04.jpg
|  amherst_college-05.jpg                                  |,https://sandbox.markofthelam.com/titleIX/amherst_college-05.jpg,AMHERST COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/amherst_college-05.jpg
|  andrews_university-01.jpg                               |,https://sandbox.markofthelam.com/titleIX/andrews_university-01.jpg,ANDREWS UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/andrews_university-01.jpg
|  andrews_university-02.jpg                               |,https://sandbox.markofthelam.com/titleIX/andrews_university-02.jpg,ANDREWS UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/andrews_university-02.jpg
|  andrews_university-03.jpg                               |,https://sandbox.markofthelam.com/titleIX/andrews_university-03.jpg,ANDREWS UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/andrews_university-03.jpg
|  andrews_university-04.jpg                               |,https://sandbox.markofthelam.com/titleIX/andrews_university-04.jpg,ANDREWS UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/andrews_university-04.jpg
|  andrews_university-05.jpg                               |,https://sandbox.markofthelam.com/titleIX/andrews_university-05.jpg,ANDREWS UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/andrews_university-05.jpg
|  atlanta_technical_college-01.jpg                        |,https://sandbox.markofthelam.com/titleIX/atlanta_technical_college-01.jpg,ATLANTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/atlanta_technical_college-01.jpg
|  atlanta_technical_college-02.jpg                        |,https://sandbox.markofthelam.com/titleIX/atlanta_technical_college-02.jpg,ATLANTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/atlanta_technical_college-02.jpg
|  atlanta_technical_college-03.jpg                        |,https://sandbox.markofthelam.com/titleIX/atlanta_technical_college-03.jpg,ATLANTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/atlanta_technical_college-03.jpg
|  atlanta_technical_college-04.jpg                        |,https://sandbox.markofthelam.com/titleIX/atlanta_technical_college-04.jpg,ATLANTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/atlanta_technical_college-04.jpg
|  atlanta_technical_college-05.jpg                        |,https://sandbox.markofthelam.com/titleIX/atlanta_technical_college-05.jpg,ATLANTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/atlanta_technical_college-05.jpg
|  auburn_university_main_campus-01.jpg                    |,https://sandbox.markofthelam.com/titleIX/auburn_university_main_campus-01.jpg,AUBURN UNIVERSITY MAIN CAMPUS,https://title-ix.s3.us-east-2.amazonaws.com/auburn_university_main_campus-01.jpg
|  auburn_university_main_campus-02.jpg                    |,https://sandbox.markofthelam.com/titleIX/auburn_university_main_campus-02.jpg,AUBURN UNIVERSITY MAIN CAMPUS,https://title-ix.s3.us-east-2.amazonaws.com/auburn_university_main_campus-02.jpg
|  auburn_university_main_campus-03.jpg                    |,https://sandbox.markofthelam.com/titleIX/auburn_university_main_campus-03.jpg,AUBURN UNIVERSITY MAIN CAMPUS,https://title-ix.s3.us-east-2.amazonaws.com/auburn_university_main_campus-03.jpg
|  auburn_university_main_campus-04.jpg                    |,https://sandbox.markofthelam.com/titleIX/auburn_university_main_campus-04.jpg,AUBURN UNIVERSITY MAIN CAMPUS,https://title-ix.s3.us-east-2.amazonaws.com/auburn_university_main_campus-04.jpg
|  auburn_university_main_campus-05.jpg                    |,https://sandbox.markofthelam.com/titleIX/auburn_university_main_campus-05.jpg,AUBURN UNIVERSITY MAIN CAMPUS,https://title-ix.s3.us-east-2.amazonaws.com/auburn_university_main_campus-05.jpg
|  augusta_technical_college-01.jpg                        |,https://sandbox.markofthelam.com/titleIX/augusta_technical_college-01.jpg,AUGUSTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/augusta_technical_college-01.jpg
|  augusta_technical_college-02.jpg                        |,https://sandbox.markofthelam.com/titleIX/augusta_technical_college-02.jpg,AUGUSTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/augusta_technical_college-02.jpg
|  augusta_technical_college-03.jpg                        |,https://sandbox.markofthelam.com/titleIX/augusta_technical_college-03.jpg,AUGUSTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/augusta_technical_college-03.jpg
|  augusta_technical_college-04.jpg                        |,https://sandbox.markofthelam.com/titleIX/augusta_technical_college-04.jpg,AUGUSTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/augusta_technical_college-04.jpg
|  augusta_technical_college-05.jpg                        |,https://sandbox.markofthelam.com/titleIX/augusta_technical_college-05.jpg,AUGUSTA TECHNICAL COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/augusta_technical_college-05.jpg
|  babson_college-01.jpg                                   |,https://sandbox.markofthelam.com/titleIX/babson_college-01.jpg,BABSON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/babson_college-01.jpg
|  babson_college-02.jpg                                   |,https://sandbox.markofthelam.com/titleIX/babson_college-02.jpg,BABSON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/babson_college-02.jpg
|  babson_college-03.jpg                                   |,https://sandbox.markofthelam.com/titleIX/babson_college-03.jpg,BABSON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/babson_college-03.jpg
|  babson_college-04.jpg                                   |,https://sandbox.markofthelam.com/titleIX/babson_college-04.jpg,BABSON COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/babson_college-04.jpg
|  ball_state_university-01.jpg                            |,https://sandbox.markofthelam.com/titleIX/ball_state_university-01.jpg,BALL STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/ball_state_university-01.jpg
|  ball_state_university-02.jpg                            |,https://sandbox.markofthelam.com/titleIX/ball_state_university-02.jpg,BALL STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/ball_state_university-02.jpg
|  ball_state_university-03.jpg                            |,https://sandbox.markofthelam.com/titleIX/ball_state_university-03.jpg,BALL STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/ball_state_university-03.jpg
|  ball_state_university-04.jpg                            |,https://sandbox.markofthelam.com/titleIX/ball_state_university-04.jpg,BALL STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/ball_state_university-04.jpg
|  ball_state_university-05.jpg                            |,https://sandbox.markofthelam.com/titleIX/ball_state_university-05.jpg,BALL STATE UNIVERSITY,https://title-ix.s3.us-east-2.amazonaws.com/ball_state_university-05.jpg
|  bard_college-01.jpg                                     |,https://sandbox.markofthelam.com/titleIX/bard_college-01.jpg,BARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bard_college-01.jpg
|  bard_college-02.jpg                                     |,https://sandbox.markofthelam.com/titleIX/bard_college-02.jpg,BARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bard_college-02.jpg
|  bard_college-03.jpg                                     |,https://sandbox.markofthelam.com/titleIX/bard_college-03.jpg,BARD COLLEGE,https://title-ix.s3.us-east-2.amazonaws.com/bard_college-03.jpg
